id,title,overview,release_date,popularity,vote_average,vote_count,genre_ids,genres
1251717,Vicious,"When Polly receives a mysterious box, it comes with one rule: place inside something she needs, something she hates, and something she loves. If she doesn’t obey, it will consume everything—and everyone—she’s ever known.",2025-09-19,9.2851,5.967,198,"[27, 53]",Horror|Thriller
296100,The Night Before,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",2015-11-20,7.3161,6.1,1777,"[35, 12, 14]",Comedy|Adventure|Fantasy
507076,Climax,"When a dance troupe is lured to an empty school, a bowl of drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night—and find who's responsible—before it's too late.",2018-09-19,7.6508,7.048,2272,"[27, 18]",Horror|Drama
9655,She's the Man,"Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",2006-03-17,6.8833,6.812,3214,"[35, 10749]",Comedy|Romance
7304,Running Scared,"A low-ranking thug is entrusted by his boss to dispose of a gun that killed corrupt cops, but things spiral out of control when the gun ends up in wrong hands.",2006-01-06,7.0108,7.0,1098,"[28, 80, 18, 53]",Action|Crime|Drama|Thriller
109414,This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",2013-06-12,8.0729,6.237,6645,"[28, 35]",Action|Comedy
8457,Drillbit Taylor,"Dealing with a sociopathic school bully, three high school freshmen hire a low-budget bodyguard to protect them, not realizing he is just a homeless beggar and petty thief looking for some easy cash.",2008-02-04,6.9021,5.823,1074,[35],Comedy
9737,Bad Boys,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",1995-04-07,7.2205,6.825,6735,"[28, 35, 80, 53]",Action|Comedy|Crime|Thriller
187,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",2005-04-01,7.0744,7.461,8590,"[80, 53]",Crime|Thriller
974036,Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,2024-02-22,7.1067,7.68,331,[18],Drama
1427,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",2006-09-13,7.0893,7.364,4843,"[80, 14, 18]",Crime|Fantasy|Drama
415,Batman & Robin,"Batman and his sidekick Robin attempt to the foil the sinister schemes of a deranged set of new villains, most notably the melancholy Mr. Freeze, who wants to make Gotham City into an arctic region, and the sultry Poison Ivy, a botanical femme fatale. As the Dynamic Duo contend with these bad guys, a third hero, Batgirl, joins the ranks of the city's crime-fighters.",1997-06-20,7.4004,4.382,5267,"[28, 878, 12]",Action|Science Fiction|Adventure
11031,This Is Spinal Tap,"""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.",1984-03-02,7.7425,7.418,1548,"[35, 10402]",Comedy|Music
846250,Fire Island,"A group of queer best friends gather in the Fire Island Pines for their annual week of love and laughter. However, desires, dramas, drink and drugs push their bonds to the limits.",2022-06-02,6.7383,6.972,267,"[35, 10749]",Comedy|Romance
677179,Creed III,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",2023-03-01,7.7273,7.087,2766,"[18, 28]",Drama|Action
7980,The Lovely Bones,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.",2009-12-26,6.9933,7.064,4839,"[14, 18]",Fantasy|Drama
80,Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",2004-06-16,6.7184,7.811,3655,"[18, 10749]",Drama|Romance
37834,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",2010-06-15,6.9021,6.226,4762,"[28, 35]",Action|Comedy
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",2024-10-01,8.6234,6.037,136,"[10751, 35, 12, 16]",Family|Comedy|Adventure|Animation
15267,The Beast,During the war in Afghanistan a Soviet tank crew commanded by a tyrannical officer find themselves lost and in a struggle against a band of Mujahadeen guerrillas in the mountains.,1988-09-14,7.006,7.0,196,"[10752, 18]",War|Drama
2469,Tie Me Up! Tie Me Down!,"After being released from a mental hospital, a troubled young man tracks down an actress he once had sex with and forces her into captivity, determined to make her part of his life.",1990-01-22,4.9139,6.8,667,"[35, 10749, 18]",Comedy|Romance|Drama
980489,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2023-08-09,7.9103,7.733,3205,"[12, 28, 18]",Adventure|Action|Drama
529203,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",2020-11-25,7.526,7.456,4036,"[16, 10751, 12, 14, 35]",Animation|Family|Adventure|Fantasy|Comedy
460846,Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",2017-03-04,7.695,6.326,937,"[28, 53, 80]",Action|Thriller|Crime
